confidence,name_similarity,match_type,ls_product_id,ls_name,ls_sku,brand,supplier,our_barcode,our_sku,our_name,Review,Reason
HIGH,1,direct_id,b1172769-f4d7-4a4d-9d8e-484d24c752bc,Kid's Boar Suede Vest,K-SSI-2002-67-S,,,01486173216,K-SSI-2002-67-S,Kid's Boar Suede Vest,Do Not Use,Bad UPC
HIGH,1,direct_id,5f69a870-636e-4104-ba8a-fcacb5231936,Pay Window Hat,A-RHE-RWPYWD-90425372-GRA-7-1/4,,,88338390425373,A-RHE-RWPYWD-90425373-GRA-7-3/8,Pay Window Hat,Do Not Use,Bad UPC
HIGH,1,direct_id,bd096ded-bbd2-4503-a903-ea7e8303f462,Small Feeder Hay Net,10779,,,71551957451X,A-GEN-257451-ROY-Small,Small Feeder Hay Net,Do Not Use,Bad UPC
HIGH,1,direct_id,c5e6eb57-8118-4718-867e-246f25a28c91,Solid Montana Vest,M-WMA-98T1176-CHA-MT,,Westmoor Manufacturing,740176363560,M-WMA-98T1176-BLA-XXLT,Solid Montana Vest,Do Not Use,Product size/width do not match
HIGH,1,direct_id,7c4405c9-c9e8-45c0-b234-e89b1ba3221e,Melody Slipper,AR2827-400-L,Ariat,Ariat,192904992113,W-ARI-10039081-BLU-M,Melody Slipper,Do Not Use,Product size/width do not match
HIGH,0.6,direct_id,65fe8afd-4613-4435-9130-7e301534c676,WMS Round Up Wide Square Toe Western Boot,W-ARI-10018528-POW-8.5-C,Ariat,Ariat,889359864804,W-ARI-10018528-POW-8.5-C,WMS ROUND UP WST POWDER BROWN,ok,
HIGH,1,direct_id,e9b265a9-fc4d-4abe-afd8-9b85cdf825e2,YTH PATRIOT ANTQ MOCHA/SAND CAMO PRINT (K-ARI-10019913-A-10.5-M),K-ARI-10019913-AS-11-M,Ariat,,889359246051,K-ARI-10019913-AS-1-M,YTH PATRIOT ANTQ MOCHA/SAND CAMO PRINT (K-ARI-10019913-A-10.5-M),Do Not Use,Product size/width do not match
HIGH,1,direct_id,114c2376-773e-4e35-a351-f4b2fcdb3026,YTH PATRIOT ANTQ MOCHA/SAND CAMO PRINT (K-ARI-10019913-A-10.5-M),K-ARI-10019913-AS-2.5-M,Ariat,,889359246075,K-ARI-10019913-AS-2-M,YTH PATRIOT ANTQ MOCHA/SAND CAMO PRINT (K-ARI-10019913-A-10.5-M),Do Not Use,Product size/width do not match
HIGH,1,direct_id,e9b265a9-fc4d-4abe-afd8-9b85cdf825e2,YTH PATRIOT ANTQ MOCHA/SAND CAMO PRINT (K-ARI-10019913-A-10.5-M),K-ARI-10019913-AS-11-M,Ariat,,889359246129,K-ARI-10019913-AS-4.5-M,YTH PATRIOT ANTQ MOCHA/SAND CAMO PRINT (K-ARI-10019913-A-10.5-M),Do Not Use,Product size/width do not match
HIGH,1,direct_id,e9b265a9-fc4d-4abe-afd8-9b85cdf825e2,YTH PATRIOT ANTQ MOCHA/SAND CAMO PRINT (K-ARI-10019913-A-10.5-M),K-ARI-10019913-AS-11-M,Ariat,,889359246105,K-ARI-10019913-AS-3.5-M,YTH PATRIOT ANTQ MOCHA/SAND CAMO PRINT (K-ARI-10019913-A-10.5-M),Do Not Use,Product size/width do not match
HIGH,1,direct_id,7de09780-63ad-47da-9e8d-3a1908737bd8,Circle S Pants,M-GEN-CP4776QR-22-44,Circle S,Sidran,013599004595,M-GEN-CP4776QR-40-30,Circle S Pants,Do Not Use,Product size/width do not match
HIGH,1,direct_id,814f6786-bec5-4129-9770-75f4961f8e5c,Navajo Open Front Blanket Wrap Jacket,W-CCR-CR15349-220-XL,Cripple Creek,,013599692198,W-CCR-CR15349-224-XXL,Navajo Open Front Blanket Wrap Jacket,Do Not Use,Product size/width do not match
HIGH,1,direct_id,814f6786-bec5-4129-9770-75f4961f8e5c,Navajo Open Front Blanket Wrap Jacket,W-CCR-CR15349-220-XL,Cripple Creek,,013599692167,W-CCR-CR15349-224-M,Navajo Open Front Blanket Wrap Jacket,Do Not Use,Product size/width do not match
HIGH,1,direct_id,814f6786-bec5-4129-9770-75f4961f8e5c,Navajo Open Front Blanket Wrap Jacket,W-CCR-CR15349-220-XL,Cripple Creek,,013599692174,W-CCR-CR15349-224-L,Navajo Open Front Blanket Wrap Jacket,Do Not Use,Product size/width do not match
HIGH,1,direct_id,6f65107e-9d6f-4be4-ac3b-3f52f41f9d0a,Liberty Roper Men's Black Crew Neck,M-HBR-BKHT-BLA-L,Hooey,,810113948966,M-HBR-HT1680BK-BLA-XXL,Liberty Roper Men's Black Crew Neck,Do Not Use,Product size/width do not match
HIGH,1,direct_id,871ed579-2376-43f4-a1ce-4f83348f4fd4,Knot Eliminator,65-0020,Weaver Leather,Weaver Leather,612458156040,A-GEN-15-6-YEL,Knot Eliminator,ok,
HIGH,1,direct_id,763316b4-4696-4bd8-9101-7dfb054257c4,"No-Turn Bell Boots, Large, Purple",35-4277-S16,Weaver Leather,Weaver Leather,000399612464,,"No-Turn Bell Boots, Large, Purple",Do Not Use,Product size/width do not match
HIGH,1,direct_id,e95999f9-44bc-45b2-8c3a-b75cbf1bc9de,"No-Turn Bell Boots, Medium, Black",35-4276-S1,Weaver Leather,Weaver Leather,000399612372,T-GEN-35-4276-S1-BLA-MD,"No-Turn Bell Boots, Medium, Black",Do Not Use,Product size/width do not match
HIGH,0.76,direct_id,c495c35f-c7bb-4989-b71e-1c2e194f3c06,Men's Cody Johnson Two Pocket Western Snap Shirt (M-KON-112378949-MCJ-BAB-XXL),M-KON-112378949-MCJ-BAB-XLT,Wrangler,,187150413948,M-KON-112378949-XXL,Men's Cody Johnson Two Pocket Western Snap Shirt,Do Not Use,Product size/width do not match
HIGH,0.76,direct_id,c495c35f-c7bb-4989-b71e-1c2e194f3c06,Men's Cody Johnson Two Pocket Western Snap Shirt (M-KON-112378949-MCJ-BAB-XXL),M-KON-112378949-MCJ-BAB-XLT,Wrangler,,197150414167,M-KON-112378949-BAB-XLT,Men's Cody Johnson Two Pocket Western Snap Shirt,ok,
HIGH,1,direct_id,8daebb4d-f6a9-4b71-9ff5-05c0c8820642,Wrangler Men's Vintage BrushPopper Blue Stripe Snap Shirt,M-KON-112368191-BLU-XXL,Wrangler,,196458981814,,Wrangler Men's Vintage BrushPopper Blue Stripe Snap Shirt,Do Not Use,Duplicate item
HIGH,1,direct_id,5851f1e1-ee4b-4182-946b-76734463294c,"www.dbsupply.com › wrangler-long-sleeve-westernWrangler Dress Western Basic Shirt, Long Sleeves",M-KON-1071125CP-17X37-TALL,Wrangler,,760609130347,M-KON-1071125CP-17-1/2-X-37-TALL,"www.dbsupply.com › wrangler-long-sleeve-westernWrangler Dress Western Basic Shirt, Long Sleeves",ok,
MEDIUM,0.74,sku_match,be8b4343-5e43-46ca-b09c-38df37264719,"1"" Adj Chin & Throat Snap Halter (A-WLE-35-7035-BL-MED)",A-WLE-35-7035-BL-MED,,Weaver Leather,000399131989,A-WLE-35-7035-BL-MED,"1"" Adj Chin & Throat Snap Halter",ok,
MEDIUM,0.66,sku_match,ba3a955e-054f-4ffa-9436-ee235b576fc5,"11"" Rugged Tan Gaucho (A-GEN-4440-TAN-15-D)",A-GEN-4440-TAN-15-D,,,731871880803,A-GEN-4440-TAN-15-D,"11"" Rugged Tan Gaucho",ok,
