confidence,match_type,product_id,name,brand_name,our_sku,style_number,size_or_dimensions,tags,status,ls_barcode,ls_sku,Use to Update,Reason
HIGH,direct_id,7233,Duplicate,,A-GEN-63-GG623-12,63-GG623-12,,,enhanced_complete,840862017927,A-GEN-63-GG623-12-BLU,no,duplicate item
HIGH,direct_id,7098,Liberty Roper Men's Grey Crew Neck T-Shirt,,M-GEN-HT1680GY-GRA-XL,HT1680GY,XL,Men,enhanced_complete,810113948768,10797,no,doesn’t match
HIGH,direct_id,7824,Stars and Stripes,,A-GEN-CST1102-56,CST1102-56,,,enhanced_complete,840995045057,SMB-3800T-VBR-8,no,doesn’t match
HIGH,direct_id,7506,3D Bi-Fold Wallet,3D Belt Company,M-GEN-D250008502-BRO-BIFOLD,D250008502,Bifold,Men,enhanced_complete,701340737808,A-GEN-D250008502-BIFOLD,ok,
HIGH,direct_id,7157,Ariat Casanova Sling Brown,Ariat,W-ARI-A770019702,A770019702,,Women,enhanced_complete,701340787803,A770019702,ok,
HIGH,direct_id,6747,MNS TEAM LOGO TWILL FTD LS SHRT BURG/WHT,Ariat,M-ARI-10034233-WIN-XXL,10034233,XXL,Men,enhanced_complete,192904526301,10034233,ok,
HIGH,direct_id,7221,BR HairTieBarbwireCncho,Blazin Roxx,,30474,OS,Women,enhanced_complete,701340711556,30474,ok,
HIGH,direct_id,7220,BR HairTieBarbwireCncho,Blazin Roxx,,30474,OS,Women,enhanced_complete,701340711556,30474,ok,
HIGH,direct_id,7028,MENS CC BONDED VEST AO,Cinch,M-MIN-MWV1082001-BLA-XS,MWV1082001,XS,Men,enhanced_complete,192584038880,MWV1082001-BLK-XXL,no,size mismatch
HIGH,direct_id,6753,MENS L/S PRINT 9/25,Cinch,M-MIN-MTW105974X-PUR-3XL,MTW105974X,3XL,Men,enhanced_complete,192584590982,MTW1105972-PUR-XXL,no,size mismatch
