confidence,name_similarity,match_type,ls_product_id,ls_name,ls_sku,brand,ls_current_type_id,our_category,our_sku,our_name
HIGH,1.0,direct_id,b8175994-1c9f-4d9a-801d-d0e5d317687a,Color Intensifier & Shampoo,10769,,,6 Piece Grooming Kit with Carrying Bag,,Color Intensifier & Shampoo
HIGH,1.0,direct_id,06ded2f1-7e63-4c7f-8e5a-9bb4855dcc20,Cowtown Pony Small Zip Top Tote – Hair-On Hide Genuine Leather,W-GEN-4160915S-11-X-10-X-4,,,Accessories - Bags & Gear,"W-GEN-4160915S-11"" X 10"" X 4""",Cowtown Pony Small Zip Top Tote – Hair-On Hide Genuine Leather
HIGH,1.0,direct_id,46508e05-8ab4-42a6-bcbb-978e52fb2670,Massey Ferguson Metal Belt Buckle,A-GEN-03070-MF,,,Accessories - Buckle,A-GEN-03070-MF,Massey Ferguson Metal Belt Buckle
HIGH,1.0,direct_id,afe4555c-a720-4faa-8165-2f79a4ae1274,New Holland Agriculture Belt Buckle,A-GEN-JZD1052-NHA,,,Accessories - Buckle,A-GEN-JZD1052-NHA,New Holland Agriculture Belt Buckle
HIGH,1.0,direct_id,3e55035f-126f-415a-b27d-4ea33364df6a,Men's Signature Bifold Wallet,M-MFW-N5480644-MED-BIFOLD,,,Accessories - Wallets,M-MFW-N5480644-MED-BIFOLD,Men's Signature Bifold Wallet
HIGH,1.0,direct_id,b9816a6f-6781-4fe0-8766-ef35243d0a0c,Nocona Stacey Bucket Purse,W-MFW-N770010501-BLA,,,Accessories - Wallets,W-MFW-N770010501-BLA,Nocona Stacey Bucket Purse
HIGH,1.0,direct_id,96866602-e19f-428d-ab6e-633e9f67b7a5,Vance Bags Leather Garment,A-GEN-2XL,,,Apparel - Leather,A-GEN-2XL,Vance Bags Leather Garment
HIGH,1.0,direct_id,59b8737b-eea2-4a18-9959-ae0e072dc92a,Tribull EMB Shirt,M-SSI-P-884X-BLA-3X,,,Apparel - Western Shirt,M-SSI-P-884X-BLA-3X,Tribull EMB Shirt
HIGH,1.0,direct_id,5cd91608-08b4-4299-843d-a78fd46d048a,Range Riders Cookin',10821,,,Gifts & Novelties - Books/Magazines/Papers/Cards,,Range Riders Cookin'
HIGH,1.0,direct_id,cd4c8f6d-5f85-40b1-b4a3-709f86626503,Gift Bag,A-GEN-4543-HOR-M,,,Gifts & Novelties - Cards,A-GEN-403-HOR-M,Gift Bag
HIGH,1.0,direct_id,cd4c8f6d-5f85-40b1-b4a3-709f86626503,Gift Bag,A-GEN-4543-HOR-M,,,Gifts & Novelties - Cards,A-GEN-4543-HOR-M,Gift Bag
