color_code,size,length,ss_new_name,ss_new_sku,ss_upc,ss_supply_price,note
CHA,42,32,COWBOY CUT JEAN* ORIGINAL FIT CHARGREY,M-Kon-1013MWZCG-42-32,051071438346,30.0,In spreadsheet but not found in LS — needs CREATE
PRE,12,REG,COWBOY CUT JEAN* BOYS 8-18 PREWASH,B-Kon-1013MWZBP-12-REG,051071388283,15.0,In spreadsheet but not found in LS — needs CREATE
SGB,40,36,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-40-36,084084240224,31.65,In spreadsheet but not found in LS — needs CREATE
WHI,30,38,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-30-38,051071675529,30.0,In spreadsheet but not found in LS — needs CREATE
AWS,36,38,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-36-38,760609586199,32.9,In spreadsheet but not found in LS — needs CREATE
DST,36,38,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-36-38,084084358653,32.9,In spreadsheet but not found in LS — needs CREATE
SHB,29,30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-29-30,760609723808,30.0,In spreadsheet but not found in LS — needs CREATE
AWS,35,32,COWBOY CUT JEAN* ORIGINAL FIT ANTIQUE_WS,M-Kon-1013MWZAW-35-32,760609586120,31.65,In spreadsheet but not found in LS — needs CREATE
SGB,30,30,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-30-30,084084239839,31.65,In spreadsheet but not found in LS — needs CREATE
SHB,33,30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-33-30,084084494498,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,48,32,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-48-32,760609356259,34.15,In spreadsheet but not found in LS — needs CREATE
TAN,28,34,COWBOY CUT JEAN* ORIGINAL FIT TAN,M-Kon-1013MWZTN-28-34,051071340274,30.0,In spreadsheet but not found in LS — needs CREATE
SHB,54,30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,M-Kon-1013MWZWK-54-30,760609356594,30.0,In spreadsheet but not found in LS — needs CREATE
PWI,33,36,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-33-36,051071128278,29.0,In spreadsheet but not found in LS — needs CREATE
BCH,34,36,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-34-36,084084785176,30.0,In spreadsheet but not found in LS — needs CREATE
GBB,32,38,COWBOY CUT JEAN* ORIGINAL FIT GB_BLEACH,M-Kon-1013MWZGH-32-38,084084441423,32.9,In spreadsheet but not found in LS — needs CREATE
WHI,42,32,COWBOY CUT JEAN* ORIGINAL FIT WHITE,M-Kon-1013MWZWI-42-32,051071675888,30.0,In spreadsheet but not found in LS — needs CREATE
BCH,36,36,COWBOY CUT JEAN* ORIGINAL FIT BLK_CHOCLT,M-Kon-1013MWZKL-36-36,084084785251,30.0,In spreadsheet but not found in LS — needs CREATE
SGB,32,34,COWBOY CUT JEAN* ORIGINAL FIT SW_GLD_BKL,M-Kon-1013MWZGK-32-34,084084239952,31.65,In spreadsheet but not found in LS — needs CREATE
PWI,54,30,COWBOY CUT JEAN* ORIGINAL FIT PREWASHED_INDIGO,M-Kon-1013MWZPW-54-30,760609356457,29.0,In spreadsheet but not found in LS — needs CREATE
DST,31,34,COWBOY CUT JEAN* ORIGINAL FIT DK_STONE,M-Kon-1013MWZDD-31-34,084084358417,31.65,In spreadsheet but not found in LS — needs CREATE
