style_number,item_name,ls_family_id,ls_family_name,brand_set,needs_supplier,needs_category,first_variant_sku
11-054-0214-0807,Stetson No 214 Ladies City Trouser,89ac7441-bed7-4da9-b0de-b74954ae0b79,Stetson No 214 Ladies City Trouser,Stetson,"HATCO. RHE Hatco, Inc.",Apparel - Jeans,W-RHE-11-054-0214-0807-BU-18-L
TL,Tony Lama Boots TL 3022,39e29c1d-e10c-4b15-835a-8609db2865f3,Tony Lama Boots TL 3022,Tony Lama,"BH Shoe Holdings, Inc",Footwear - Boots,M-BHS-TL-3022-13-D
PH5046,"Civil Dusk Men's 11"" Roper",6f2cd570-3015-40f3-baab-5c8bd09f31da,"Civil Dusk Men's 11"" Roper",H & H,"BH Shoe Holdings, Inc",Footwear - Boots,M-BHS-PH5046-NA-9-D-NA
SF03320730,Stetson Cavalry Hat,5e51bff6-a928-4f60-901e-913dd5e32a72,Stetson Cavalry Hat,Stetson,"HATCO. RHE Hatco, Inc.",Hats - Felt Cowboy Hats,A-RHE-SF03320730-CULY-R-BLA-7-1/8-R
MXY,Cinch Performance Athletic Sock,385fadef-e88b-4d7a-92c1-0e099f148709,Cinch Performance Athletic Sock,Cinch,Miller Brands LLC,Apparel - Socks,A-MIN-MXY-60005002-BLK-BWH-M
May-80,Small Halter,5dd014f4-bbaf-41d6-905f-f4072e676c24,Small Halter,Valhoma,"Jacks Manufacturing, Inc.","Horse/Rodeo-Tack&RidingEquip-Headstalls,Bits,Ctrl",A-JMA-5-80-BACS-RD-S
MWK1904001,Cinch Fleece,beef8b58-1099-43ce-8ef8-4195c4d56adc,Cinch Fleece [MWK1904001],Cinch,Miller Brands LLC,Apparel - Mid-Layer,M-MIN-MWK1904001-MUL-MUL-XS
MWJ1919002,Cinch Windbreaker,c3058a6f-4572-42cd-be54-8e484710bc32,Cinch Windbreaker [MWJ1919002],Cinch,Miller Brands LLC,Apparel - Outerwear,M-MIN-MWJ1919002-NAV-NAV-XS
MTK1721018,"Cinch Lead, Don't Follow Tee",a98f12da-4ddb-477a-82cc-66dbb163aca8,"Cinch Lead, Don't Follow Tee [MTK1721018]",Cinch,Miller Brands LLC,Apparel - T-Shirts & Tanks,M-MIN-MTK1721018-TEA-NA-S
MTW1105995,Cinch Woven Shirt,a428bfbc-617f-4765-8ae6-4f9acf8c16c8,Cinch Woven Shirt [MTW1105995],Cinch,Miller Brands LLC,Apparel - Western Woven Shirts,M-MIN-MTW1105995-WHT-WHI-S
MTW1105881,Cinch Western Shirt,9574ea3d-3caa-487a-b8a4-c6f7d81f09c2,Cinch Western Shirt [MTW1105881],Cinch,Miller Brands LLC,Apparel - Western Woven Shirts,M-MIN-MTW1105881-BRN-BRO-S
MB58135005,Cinch Shorts,7975b4d2-ef59-4af2-94f3-3117239c98ed,Cinch Shorts [MB58135005],Cinch,Miller Brands LLC,Apparel - Shorts,M-MIN-MB58135005-RED-RED-S
MSK7895006,Cinch Shirt,860e2ca6-bc6a-403a-bc34-b88a85c839a8,Cinch Shirt [MSK7895006],Cinch,Miller Brands LLC,Apparel - Western Woven Shirts,W-MIN-MSK7895006-LTB-NA-L
CWJ8009001,Cruel Girls Jacket,167ecf5e-3780-4a21-8b16-48a50a423026,Cruel Girl Jacket [CWJ8009001],Cruel Denim,Cruel Denim,Apparel - Outerwear,G-CRU-CWJ8009001-GLD-GOL-XS/4-5
CTK7459005,Cruel Denim Shirt,fbe02695-1d89-4453-9002-39204011979a,Cruel Denim Shirt [CTK7459005],Cruel Denim,Cruel Denim,Apparel - T-Shirts & Tanks,W-CRU-CTK7459005-GRN-GRN-XXL
