barcode,our_product_id,our_product_name,our_sku,our_category,conflict_product_id,conflict_product_name,conflict_sku,conflict_category,keep_which,notes
197150414167,c495c35f-c7bb-4989-b71e-1c2e194f3c06,Men's Cody Johnson Two Pocket Western Snap Shirt (M-KON-112378949-MCJ-BAB-XXL),M-KON-112378949-MCJ-BAB-XLT,,81db9ce6-c969-41f0-857a-c5748bb5fa3a,Wrangler® X Cody Johnson Long Sleeve Shirt - Classic Fit - Snaps,112378949-XLT-TAL,Apparel - Western Woven Shirts,,
840862011871,fa4bebef-de73-4aad-bc12-d9ef95d663b2,AWST Int'l Barrel Racer Necklace w/Colorful Cowboy Hat Gift Box (A-JPC-JN140),A-JPC-JN140,Accessories - Jewelry,2872c6a2-3dce-48e5-bc11-4d6a60211501,AWST Int'l Barrel Racer Necklace w/Colorful Cowboy Hat Gift Box (B-JPC-JN140),B-JPC-JN140,,,
195556091715,b0e1b96d-0809-4be8-a9c1-5ff950751b7d,Always Be My Baby,A-GEN-CSABMB-0640NUL0-NAT-L,,f2074826-6ce8-449d-804a-02e0e9243192,06 ALWAYS BE MY BABY,CSABMB-0640NUL0,Hats,,
701340792418,40cbca70-1351-4ff0-a71f-863b34d0bb95,Ariat Trucker Cap (A-MFW-A300093133-OS),A-MFW-A300093133-OS,,95cc2e18-6d0b-4cb4-aa4c-836098544811,Ariat Ladies Ponyflo Cap Snap Back Rope Boot Stitch Turquoise,A300093133,Hats - Caps/Beanies/Novelty,,
840184564437,01be2490-3237-4b8e-a4d4-d28e38328036,Breathe Classic Bootcut (W-CTU-JBREAC-33-XL),W-CTU-JBREAC-34-XL,Apparel - Jeans,fe37b7c6-3692-4002-b2aa-16d66cac3a8f,Cowgirl Tuff Beautiful Classic Bootcut Jeans,JTBEAC-34-XLONG,Apparel - Jeans,,
810141638693,54b5ba5f-f9ab-426d-b220-ed969ec2ebc3,Chris Kyle BLK Camo 5P TRK (A-GEN-CK025-BLA-OSFA),A-GEN-CK025-BLA-OSFA,,e35705f9-4c2d-4455-8ea1-df0458604463,Chris Kyle 5-Panel Trucker,CK025,Hats - Caps/Beanies/Novelty,,
810157675040,2f30ebb3-08c6-4d06-9e81-f14434c950a1,Chris Kyle Tan 6P Trucker Hat (A-GEN-CK027-TAN-OSFA),A-GEN-CK027-TAN-OSFA,,bb2b0c19-ad64-443f-be75-a9af33ddcbe0,Chris Kyle 6-Panel Trucker,CK027,Hats - Caps/Beanies/Novelty,,
883383865417,6286bc86-6770-438c-b869-a428d5d46a22,CoJo Special Hat,A-GEN-RSCOJO-CJ429673-NT-7-3/8,,4322099c-9448-425f-a5ff-98cc4031d379,CJ COJO SPECIAL,RSCOJO-CJ429673,Hats,,
688499026109,93c22c06-0742-4756-b3ac-d59edbbd5dcb,Dark Oil Quality Lead (A-JTI-18-090-DAR-1),A-JTI-18-090-DAR-1,,4f16d598-bdd2-4095-b111-2b2ce36f8106,"Royal King Leather Lead with Brass Chain - 1""",18-090-32-0,Horse/Rodeo-Tack&RidingEquip-Saddles&Accessories,,
810125585098,7dba1dee-0af3-4436-a5a0-392429d21011,Lakota HY PUR/BLK 6P TRK OSFA Cap,A-GEN-2348T-PLBK-PB-OSFA,,fa2bb7b2-3b17-44a8-8f24-eed20a29194d,Lakota 6-Panel Trucker,2348T-PLBK,Hats - Caps/Beanies/Novelty,,
810141635388,e404a747-7ba0-4181-82a2-29297bec2336,Rope Like MT/WHT 5P TRK TUR OSFA (A-GEN-2449T-MTWH-RW-OSFA),A-GEN-2449T-MTWH-TUR-OSFA,,d336e2e3-4a10-4baf-ad86-01957f4c8593,Rope Like a Girl 5-Panel Trucker,2449T-MTWH,Hats - Caps/Beanies/Novelty,,
688499142861,04917f74-e00c-4571-a96f-6aae6a0780a1,Sleek N' Shine Grooming Block (A-JTI-68-9990-0-0),A-JTI-68-9990-0-0,,2a9e7c69-a6fa-41e8-b26e-d065250b933f,Tough1 Sleek n' Shine Horse Grooming Block,68-9990-0-0,"Horse/Rodeo-Health, Care, Grooming-Groom Tools",,
688499507042,a1342c2e-6f55-4fe3-b0d1-f3f28fe46d54,Tough 1 - Brown Churchill Leather Stable Halter w/ Lead (A-JTI-44-2031-BRO) [A-JTI-44-2031-BRO],A-JTI-44-2031-BRO,,c4934a43-01bc-4491-9a51-8b240e3c05b0,Royal King Churchill Stable Halter with Snap,44-2031-7-0,Register – Leather & Tack,,
688499026086,5553e3df-f747-4542-af47-76c33c3c6317,Tough 1 Dark Oil Leather Lead w/ Brass Plated Chain (A-JTI-18-080-DAR-3/4),A-JTI-18-080-DAR-3/4,,fb63b06d-68ca-4463-8051-443fb993a6bd,"Royal King Leather Lead with Brass Chain - 3/4""",18-080-32-0,Horse/Rodeo-Tack&RidingEquip-Saddles&Accessories,,
688499107235,30bb894f-86d7-444e-83c0-0447ed9c7864,Tough 1 Halter & Lead Pair,A-JTI-44-2045-BRO-Large-Horse,,5a7bbf2c-8d03-412c-aead-6ec190106f39,Royal King Leather Track Halter,44-2045-7-0,"Horse/Rodeo-Tack&RidingEquip-Headstalls,Bits,Ctrl",,
701340526167,9d8a1331-47e2-442f-a8aa-8d5acf5ae9e7,Twister Hat T71621-7.5 [A-MFW-T71621-7.5-7-1/2],A-MFW-T71621-7.5-7-1/2,,c1a94372-d7ff-4477-b10f-78287af5a369,Twister Bangora Western Hat,T71621-7.5,Hats - Straw Cowboy Hats,,
749186509685,920eb5cb-6928-4030-8163-fbaadb883b76,"Vengeance Men's 12"" Waterproof U Toe Work Western Boots (M-BHS-DH5427-NEU-12-D) [M-BHS-DH5427-NEU-12-D]",M-BHS-DH5427-NEU-12-D,Footwear - Boots,907f889c-b75f-488f-b437-b8988241a87b,Vengeance,DH5427-120D-200,Footwear - Western Boots,,
701340009714,3a4ab95d-3a6f-4165-b355-d06f9dc91ea6,Wood Boot Jacks (A-GEN-0400201-WB),A-GEN-0400201-WB,,eeff4f32-05d9-4a72-941f-8f77712a8761,Bootjack,0400201,Footwear - Footwear Accessories & Care,,
810157674944,2bed81f0-e25b-41af-85dc-5f29ab1b4790,Zenith Tn/Wht 6P TRL OSFA (A-GEN-2524T-TNWH-TW-OSFA),A-GEN-2524T-TNWH-TW-OSFA,,429dbff4-52f6-4545-be94-0a53d7635e00,Zenith 6-Panel Trucker,2524T-TNWH,Hats - Caps/Beanies/Novelty,,
197318499708,8b62175b-31e0-41e8-bd05-d5c55baea40c,Activator VentTEK H20 Steel Toe (M-ARI-10061119-DBR-10.5-D),M-ARI-10061119-DBR-10.5-D,Footwear - Boots,ba1dee1f-8749-4a35-b72a-c6f465d4391c,Ariat Men's Activator VentTEK Waterproof Wide Square Toe Steel Toe Work Boot,10061119-10.5-D,Footwear - Work Boots,,
197318499685,66a277bb-1eff-4bcf-960c-450451a47983,Activator VentTEK H20 Steel Toe (M-ARI-10061119-DBR-10.5-D),M-ARI-10061119-DBR-9.5-D,Footwear - Boots,e61e3f93-6d59-44c7-b3c7-1eb8783153fa,Ariat Men's Activator VentTEK Waterproof Wide Square Toe Steel Toe Work Boot,10061119-9.5-D,Footwear - Work Boots,,
197318499678,5f1096a8-77c5-4f0b-a669-6a00ac25214d,Activator VentTEK H20 Steel Toe (M-ARI-10061119-DBR-10.5-D),M-ARI-10061119-DBR-9-D,Footwear - Boots,7cf39c15-dec8-4495-b24e-5469aa306639,MNS ACTIVATOR VENTTEK H2O ST BRN/WKR,10061119,Kids,,
197318499753,c45317cd-2d6a-4689-981e-3d8d13084484,Activator VentTEK H20 Steel Toe (M-ARI-10061119-DBR-10.5-D),M-ARI-10061119-DBR-14-D,Footwear - Boots,23b44f13-0791-43e2-8a6c-0e9b15ccc635,Ariat Men's Activator VentTEK Waterproof Wide Square Toe Steel Toe Work Boot,10061119-14-D,Footwear - Work Boots,,
197318499883,749a3caa-bd03-48a2-8245-901e91dc6aca,Activator VentTEK H20 Steel Toe (M-ARI-10061119-DBR-10.5-D),M-ARI-10061119-DBR-13-EE,Footwear - Boots,1b4a39b9-de79-4c32-a232-713a65dbc7b6,Ariat Men's Activator VentTEK Waterproof Wide Square Toe Steel Toe Work Boot,10061119-13-EE,Footwear - Work Boots,,
197318499739,b2be4302-b225-4fe9-bb3e-d3fc5e232e8b,Activator VentTEK H20 Steel Toe (M-ARI-10061119-DBR-10.5-D),M-ARI-10061119-DBR-12-D,Footwear - Boots,fe73fed0-90d8-4877-99ea-50a399d8bdae,Ariat Men's Activator VentTEK Waterproof Wide Square Toe Steel Toe Work Boot,10061119-12-D,Footwear - Work Boots,,
197318499876,a85c55ff-78a6-437a-8e3d-b8ee8102f290,Activator VentTEK H20 Steel Toe (M-ARI-10061119-DBR-10.5-D),M-ARI-10061119-DBR-12-EE,Footwear - Boots,c30233c2-65b2-4c34-a381-e968f88a1c00,Ariat Men's Activator VentTEK Waterproof Wide Square Toe Steel Toe Work Boot,10061119-12-EE,Footwear - Work Boots,,
197318499722,fe0bd612-b888-43e4-aa66-7dc31474961d,Activator VentTEK H20 Steel Toe (M-ARI-10061119-DBR-10.5-D),M-ARI-10061119-DBR-11.5-D,Footwear - Boots,749005a5-3507-486d-916f-92c4f8bfaf60,Ariat Men's Activator VentTEK Waterproof Wide Square Toe Steel Toe Work Boot,10061119-11.5-D,Footwear - Work Boots,,
197318278662,de873f12-05d8-4c54-af4b-1d51bab8f03d,Ariat Countryside Mid Socks (A-ARI-AR4155-250-M-BEI-M),A-ARI-AR4155-250-M-BEI-M,Apparel - Socks,1d0a6cf5-4ec5-4c04-958b-11f912bfde9e,Countryside Mid Socks,AR4155-250-M,Apparel - Socks,,
701340536722,0d6a718a-a822-418e-a258-4368bb07c1bf,Ariat Hat A73124,A-ARI-A73124-6.75-6-3/4,,a4c558da-2997-41f5-ba18-669a2185ee22,Ariat Bangora 2 Cord Golden Brown Band Double S,A73124-6.75,Hats - Straw Cowboy Hats,,
197318905254,29e7a462-e3e1-46c8-a879-bbfc8cb921b7,Ariat Lightweight Twill SS Shirt (M-ARI-10073617-SIL-S),M-ARI-10073617-SIL-L,,2bd3c339-a1d0-4e52-9fdf-3dcedc765d56,Ariat Men's Lightweight Twill Classic Fit Shirt - Silt Green,10073617-LG,Apparel - Western Woven Shirts,,
197318905261,29e1defa-bb72-4111-af95-62427e9a95c3,Ariat Lightweight Twill SS Shirt (M-ARI-10073617-SIL-S),M-ARI-10073617-SIL-XL,,13442a95-a805-4ca3-b1b6-d6a7164701bd,Ariat Men's Lightweight Twill Classic Fit Shirt - Silt Green,10073617-XL,Apparel - Western Woven Shirts,,
197318905278,6ae6e18e-11c2-4bf8-9a0c-d656559f5a54,Ariat Lightweight Twill SS Shirt (M-ARI-10073617-SIL-S),M-ARI-10073617-SIL-XXL,,2b016ab3-e7f9-4811-b8b5-04169087e4be,Ariat Men's Lightweight Twill Classic Fit Shirt - Silt Green,10073617-XXL,Apparel - Western Woven Shirts,,
197318905285,f8477743-d63f-40f7-8328-a60f0909bf80,Ariat Lightweight Twill SS Shirt (M-ARI-10073617-SIL-S),M-ARI-10073617-SIL-3XL,,a1eeb1b8-53ed-4bbd-ab48-e1d837fecdcb,Ariat Men's Lightweight Twill Classic Fit Shirt - Silt Green,10073617-XXXL,Apparel - Western Woven Shirts,,
197318905230,3bb06c9d-a4e8-4130-8a12-5c7327618cce,Ariat Lightweight Twill SS Shirt (M-ARI-10073617-SIL-S),M-ARI-10073617-SIL-S,,fd955ee8-d8b3-47e0-b3ed-e83c7a2151c6,MNS LIGHTWEIGHT TWILL SS SHRT SILT GRN,10073617,Apparel - Tops/Blouses,,
197318905247,2b8c71d7-5852-4b09-bb27-6020c75a3f73,Ariat Lightweight Twill SS Shirt (M-ARI-10073617-SIL-S),M-ARI-10073617-SIL-M,,55af5f63-d978-4fb3-a2ab-591f54d350f9,Ariat Men's Lightweight Twill Classic Fit Shirt - Silt Green,10073617-MED,Apparel - Western Woven Shirts,,
889359595708,73f1c7a7-698c-4f16-9092-3f0e21efbb10,Ariat M4 Relaxed Boot Cut Jeans (M-ARI-10017511-DUR-40-34),M-ARI-10017511-DUR-28-30,Apparel - Jeans,b11b4486-0fd3-46e0-acbc-da953683e9b6,MNS M4 COLTRANE BOOT JEAN DURANGO,10017511,Kids,,
889359501600,d1b75220-8b89-4f11-90cf-512589f61b09,Ariat M4 Relaxed Boot Cut Jeans (M-ARI-10022676-KIL-34-38),M-ARI-10022676-KIL-34-38,Apparel - Jeans,7947a9aa-54a1-4202-935b-5ce48caa35c5,Ariat M4 Relaxed Boot Cut Jeans,10022676-34-38-Kilroy,Apparel - Jeans,,
192904345865,f3bead18-e606-4535-926f-e15d1689f882,Ariat M7 Slim Fit Straight Leg Jeans (M-ARI-10032321-SUM-28-32),M-ARI-10032321-SUM-28-32,Apparel - Jeans,496ab989-7b15-4baf-b008-b97f0ca1c56a,MNS M7 STR NASSAU STKBL SGHT JN SUMMIT,10032321,Kids,,
197318662287,b3d47ea5-f89f-4755-8bdc-e47d9f359ba5,Ariat Men's Western Big Rig (M-ARI-10033870-BLA-17-EE),M-ARI-10033870-BLA-17-EE,Footwear - Boots,01a45f7a-a625-4cd8-82d4-a9f6f921d07a,Ariat Men's Western Big Rig,10033870-17-EE-BlackDeertan,Footwear - Boots,,
195696822156,02412757-ad8c-4f3d-aca2-e4bc63b893d7,Ariat Perfect Rise Straight Leg Newport Jeans (W-ARI-10048271-33-S),W-ARI-10048271-33-S,Apparel - Jeans,29688959-0558-4170-9c7c-5c1cdf0ecb0e,Ariat Perfect Rise Straight Leg Jeans,10048271-33-S-Newport,Apparel - Jeans,,
195696195366,9b977964-50f3-47b3-8867-416c41c91fa5,Ariat REAL Perfect Rise Boot Cut (W-ARI-10041063-29-S) [W-ARI-10041063-29-S],W-ARI-10041063-29-S,Apparel - Jeans,a6ca3a33-c821-436c-957a-5861c2dcce3c,Ariat REAL Perfect Rise Boot Cut Jeans,10041063-29-S-Nashville,Apparel - Jeans,,
889359493141,81c3b241-3137-4160-9bdc-ba2138298046,Ariat Rebar M3 Loose Straight Leg Jeans (M-ARI-10022605-SIE-34-34),M-ARI-10022605-SIE-34-34,Apparel - Jeans,f2e85245-8c5f-4758-a151-aea63363acf4,Ariat Rebar M3 Loose Straight Leg Jeans,10022605-34-34-Sierra,Apparel - Jeans,,
195696203375,ee125ef5-1dd1-4cf1-bf2d-6447cf84d265,Ariat Rebar M4 Relaxed Boot Cut Jeans (M-ARI-10041086-GAB-33-34),M-ARI-10041086-GAB-33-34,Apparel - Jeans,17146427-16ee-47bf-9a23-4e77f82c0da2,Ariat Rebar M4 Relaxed Boot Cut Jeans,10041086-33-34-Gabe,Apparel - Jeans,,
195696018467,0cc0086c-0e10-4ca8-996f-923824f7f582,Ariat Rebar M5 Work Flow Pants (M-ARI-10039289-BLA-30-34),M-ARI-10039289-BLA-30-34,,3c565d23-46bb-495b-8ed3-d880b6bba151,MNS REBAR M5 WORK FLOW ULTRLGHT PNT BLK,10039289,Kids,,
195696590284,33969f9c-bb80-4c38-a622-185fffa63232,Ariat Rebar Work Flex Jeans (W-ARI-10045373-32-S),W-ARI-10045373-32-S,Apparel - Jeans,8bd099ec-d909-4191-9c3c-37a1cc463972,Ariat Work Rebar Perfect Rise Straight Leg,10045373-32-Short,Apparel - Jeans,,
195696404574,e574880d-02c0-4ee9-9343-c23f55f115a7,Ariat Ultra Stretch Katie Jeans (W-ARI-10043175-31-L),W-ARI-10043175-33-R,Apparel - Jeans,3d4c2d77-86bc-4f83-9021-9ce5322b4453,Perfect Rise 33R Flare (Katie),10043175-33-Regular,Apparel - Jeans,,
195696205331,78876663-7029-4e57-b4c0-c4021b30bc64,Ariat Work Rebar M7 Slim Fit Straight Leg (M-ARI-10041080-BLA-30-34),M-ARI-10041080-BLA-30-34,Apparel - Pants,3a7a00f1-d55b-480a-8f83-7952b3ea6223,MNS REBAR M7 DURASTR MD TGH PT BLK,10041080,Kids,,
197318151354,5c6b685b-059d-40f7-9e79-68e9867870b9,Crius Insulated Vest (W-ARI-10052831-CC-1X),W-ARI-10052831-CC-1X,,2a72aa1b-92c9-4904-b813-bf448722dd67,Crius Insulated Vest,10052831-1X--Chestnut/ChocolatePlum,Apparel - Outerwear,,
195696432454,1f8a54e3-8190-49aa-961f-f9f233b129a2,Demetri Classic LS Shirt (M-ARI-10043921-WIN-S/P),M-ARI-10043921-WIN-S/P,,779271c1-1d77-4f90-94a9-2fdac86604f2,MNS DEMETRI CLSSC LS SHRT WINE CLUB,10043921,Apparel - Tops/Blouses,,
197318907715,56b1bd66-f537-4a92-9d60-9988a978d5a8,Felipe FTD LS SNP SHRT (M-ARI-10073623-CHA-XXL),M-ARI-10073623-CHA-XL,,cdf2ad47-52f9-4257-84ef-1471f1379f99,MNS FELIPE FTD LS SNP SHRT CHMBLU GEOPRT,10073623,Apparel - Tops/Blouses,,
