Product Name,SKU,Our Price,Lightspeed Price,Difference,Action
JACKIE SQUARE TOE,W-ARI-10039057-BLA-11-NA,$46.97,$65.95,$18.98,REVIEW — large gap (>$10)
SILVERSMITH SQUARE TOE,M-ARI-10039074-BRO-8-NA,$65.95,$46.97,$18.98,REVIEW — large gap (>$10)
SILVERSMITH SQUARE TOE,M-ARI-10039074-BRO-9-NA,$65.95,$46.97,$18.98,REVIEW — large gap (>$10)
SILVERSMITH SQUARE TOE,M-ARI-10039075-BRO-7-NA,$65.95,$46.97,$18.98,REVIEW — large gap (>$10)
SILVERSMITH SQUARE TOE,M-ARI-10039074-BRO-12-NA,$65.95,$46.97,$18.98,REVIEW — large gap (>$10)
Ariat Casanova Sling Brown,W-ARI-A770019702-BRO,$71.95,$88.00,$16.05,REVIEW — large gap (>$10)
Ariat Ladies Casanova Collection Belt Bag Hot Pink,W-ARI-A770016729-HOT,$57.95,$72.00,$14.05,REVIEW — large gap (>$10)
JACKIE SQUARE TOE - Exotic,W-ARI-10039061-LB-10-NA,$39.97,$49.97,$10.00,REVIEW — large gap (>$10)
Ariat Oval Mexican Flag,A-ARI-A37013-GWR,$28.95,$36.00,$7.05,Minor rounding — verify
Montana Silversmiths Belt Buckle - Medium Oval (No Dollar),A-GEN-2650P,$146.95,$140.00,$6.95,Minor rounding — verify
Top Notch Bi-Fold Wallet,A-HBR-HBF008-TNBR-IVR,$55.95,$62.00,$6.05,Minor rounding — verify
Nocona Boys Western Rectangular Silver & Gold Buckle,A-BHS-36106-AAC-YOUT,$20.95,$25.00,$4.05,Minor rounding — verify
Nocona Youth Bullrider & Stars Rectangle Belt Buckle,A-BHS-3798902-BRS-YOUTH,$20.95,$25.00,$4.05,Minor rounding — verify
Tonkawa Bi-Fold Wallet,A-HBR-HBF006-BRBK-IVR,$49.95,$54.00,$4.05,Minor rounding — verify
10X Shantung Hat,A-MFW-T70590SS-NA-7.625,$78.95,$81.00,$2.05,Minor rounding — verify
10X Shantung Hat,A-MFW-T70590SS-NA-7.375,$78.95,$81.00,$2.05,Minor rounding — verify
10X Shantung Hat,A-MFW-T70590SS-NA-7.125,$78.95,$81.00,$2.05,Minor rounding — verify
10X Shantung Hat,A-MFW-T70590SS-NA-7.25,$78.95,$81.00,$2.05,Minor rounding — verify
10X Shantung Hat,,$78.95,$81.00,$2.05,Minor rounding — verify
10X Shantung Hat,A-MFW-T70690SS-NA-7,$78.95,$81.00,$2.05,Minor rounding — verify
Hooey Classic Bi-Fold Wallet,A-HBR-HBF001-BK-BLA,$43.95,$46.00,$2.05,Minor rounding — verify
Twister Hat,A-MFW-T70590SS-NAT-6-7/8,$78.95,$81.00,$2.05,Minor rounding — verify
Twister Hat,A-MFW-T70590SS-6.75-NAT-6-3/4,$78.95,$81.00,$2.05,Minor rounding — verify
3D Trifold Wallet Tooled Black,M-GEN-D250005501-BLA-TRIFOLD,$53.95,$55.00,$1.05,Minor rounding — verify
4-H Livestock Buckle,A-GEN-A1049S-4-H,$48.95,$50.00,$1.05,Minor rounding — verify
Ariat Cosmetic Bag Aztec Print Multicolored,W-ARI-A460003397,$23.95,$25.00,$1.05,Minor rounding — verify
Attitude Buckles - Indiana Brass,A-GEN-60811INC-IND,$48.95,$50.00,$1.05,Minor rounding — verify
Classic Impressions Waving American Flag Attitude Buckle,A-GEN-A590S-ANT,$48.95,$50.00,$1.05,Minor rounding — verify
Forever Free Heritage Attitude Buckle,A-GEN-A947C-EAG,$48.95,$50.00,$1.05,Minor rounding — verify
Independent Since 1776 Buckle,A-GEN-A1062P-776,$48.95,$50.00,$1.05,Minor rounding — verify
Matched Pair Deer Buckle,A-GEN-A785S-DEE,$48.95,$50.00,$1.05,Minor rounding — verify
Nocona Youth Belt Buckle,A-MFW-3603207-SIL-YOUTH,$23.95,$25.00,$1.05,Minor rounding — verify
Radiating Center of it All Arrow Belt Buckle,A-GEN-A872-AB-,$48.95,$50.00,$1.05,Minor rounding — verify
Rope and Barbed Wire Longhorn Classic Impressions Attitude Buckle,A-GEN-A550S-ANT,$48.95,$50.00,$1.05,Minor rounding — verify
Soaring Eagle Arms Attitude Belt Buckle,A-GEN-A877-SOA,$48.95,$50.00,$1.05,Minor rounding — verify
Youth Belt Buckle,A-MFW-37672-HWR-YOUTH,$22.95,$24.00,$1.05,Minor rounding — verify
