source_pid,orphan_sku,ls_product_id,ls_uuid_found,style_number_raw,style_number_clean,embedded_color_code,brand,supplier,category,barcode,retail_price,supply_price,color,size,item_name,ls_deleted_at,ls_active,ls_family_id,ls_name
885,W-MIN-MJB1454082-IND-32/13-S,e7e74861-2a70-4176-9053-46e46749c325,Y,MJB1454082 IND,MJB1454082,IND,Cinch,Miller International,Apparel - Jeans,,39.97,,,32/13,Cinch Lynden Jeans,,Y,cd9ad57f-04f0-435c-a63e-f2481b3d17f2,Cinch Lynden Jeans (W-MIN-MJB1454082-IND-32/13-S)
965,W-MIN-MAV9907001-MUL-MUL-XL,04eef4e8-4f0c-4910-9519-7e0427717283,Y,MAV9907001 MUL,MAV9907001,MUL,Cinch,Miller International,Apparel - Outerwear,192584508666,87.97,,Multi,XL,Cinch Reversible Vest,,Y,ac2374a3-9b78-425b-ae6a-6051efb73aee,Cinch Reversible Vest (W-MIN-MAV9907001-MUL-MUL-XL) [W-MIN-MAV9907001-MUL-MUL-XL
979,W-MIN-MAV9882007-GRY-GRA-XXL,c6487a88-a0d7-4d16-b358-ea94a50197ed,Y,MAV9882007 GRY,MAV9882007,GRY,Cinch,Miller International,Apparel - Outerwear,192584346930,49.97,,Gray,XXL,Cinch Concealed Carry Vest,,Y,17cf219c-4e1e-4ed0-9677-50bd65b875a1,Cinch Concealed Carry Vest (W-MIN-MAV9882007-GRY-GRA-XXL)
989,M-MIN-MWK1904001-MUL-MUL-XS,67810f00-e1d8-42e3-8db3-f9264d552af8,Y,MWK1904001 MUL,MWK1904001,MUL,Cinch,Miller International,Apparel - Fleece,19258438499,37.99,,Multi,XS,Cinch Fleece,,Y,374d4ae4-f9d4-4f02-bee0-a5b0e295df3e,Cinch Fleece (M-MIN-MWK1904001-MUL-MUL-XS)
990,M-MIN-MWJ1919002-NAV-NAV-XS,96bc1b94-90c9-485d-b1ad-6091378e1b30,Y,MWJ1919002 NAV,MWJ1919002,NAV,Cinch,Miller International,Apparel - Outerwear,192584528657,51.97,,Navy,XS,Cinch Windbreaker,,Y,786b3fdc-e1c5-4d46-9033-8410a8f91564,Cinch Windbreaker (M-MIN-MWJ1919002-NAV-NAV-XS) [M-MIN-MWJ1919002-NAV-NAV-XS]
991,M-MIN-MWV1591001-CHR-XS,a69c0d81-8442-4c81-9a0f-c3c8bca99785,Y,MWV1591001 CHR,MWV1591001,CHR,Cinch,Miller International,Apparel - Outerwear,192584437256,99.95,,,XS,Cinch Vest,,Y,d2f56f92-441f-4436-8078-d5fc3a327aaf,Cinch Vest (M-MIN-MWV1591001-CHR-XS)
993,M-MIN-MWV1592003-CHR-CHR-XS,7f58e3dd-81f0-445c-97a5-c8e19fb7d468,Y,MWV1592003 CHR,MWV1592003,CHR,Cinch,Miller International,Apparel - Vest,192584514841,79.95,,CHR,XS,Cinch Vest,,Y,0ce2f18a-56fb-4b8c-af9c-63d836ec5663,Cinch Vest (M-MIN-MWV1592003-CHR-CHR-XS)
996,M-MIN-MWK1904001-MUL-MUL-S,d03a78a3-f27e-4518-b25a-e7e91bd2add4,Y,MWK1904001 MUL,MWK1904001,MUL,Cinch,Miller International,Apparel - Fleece,192584438505,37.99,,Multicolor,S,Cinch Fleece,,Y,e324b123-59bd-4a87-836d-9b7439b94154,Cinch Fleece (M-MIN-MWK1904001-MUL-MUL-S) [M-MIN-MWK1904001-MUL-MUL-S]
1003,M-MIN-MWK1904001-MUL-MUL-L,f84e19bc-e96b-43f5-8a51-9fa5b8c76ae4,Y,MWK1904001 MUL,MWK1904001,MUL,Cinch,Miller International,Apparel - Fleece,192584438529,37.99,,Multi,L,Cinch Fleece,,Y,b9082d59-8185-4524-bc5b-e751a39e982f,Cinch Fleece (M-MIN-MWK1904001-MUL-MUL-L) [M-MIN-MWK1904001-MUL-MUL-L]
1006,M-MIN-MWJ1919002-NAV-NAV-XL,84047b96-ef05-49f8-b2c1-857f3735608d,Y,MWJ1919002 NAV,MWJ1919002,NAV,Cinch,Miller International,Apparel - Windbreaker,19258452695,51.97,,Navy,XL,Cinch Windbreaker,,Y,a0cd191f-fe95-4abd-9a5c-dbe2ba8df36f,Cinch Windbreaker (M-MIN-MWJ1919002-NAV-NAV-XL) [M-MIN-MWJ1919002-NAV-NAV-XL]
1011,M-MIN-MWJ1919002-NAV-NAV-XXL,82e138b7-b199-4d79-8fb9-6d7fa217e125,Y,MWJ1919002 NAV,MWJ1919002,NAV,Cinch,Miller International,Apparel - Windbreaker,192584528701,51.97,,Navy,XXL,Cinch Windbreaker,,Y,04596a9a-acb2-42bd-bd69-ef5ef96a5c8a,Cinch Windbreaker (M-MIN-MWJ1919002-NAV-NAV-XXL) [M-MIN-MWJ1919002-NAV-NAV-XXL]
1013,M-MIN-MWV159205X-GRY-GRA-4XL,9b8e270e-d414-4f50-a829-c609c4470364,Y,MWV159205X GRY,MWV159205X,GRY,Cinch,Miller International,Apparel - Outerwear,,79.97,,Gray,4XL,Cinch Jacket,,Y,8cd17a53-d8a5-4bee-bd96-3f50f4341c83,Cinch Jacket (M-MIN-MWV159205X-GRY-GRA-4XL)
1014,M-MIN-MWV159101X-CHR-CHA-4XL,7d44aa93-5450-42a2-b75b-4afdaeb2ea95,Y,MWV159101X CHR,MWV159101X,CHR,Cinch,Miller International,Apparel - Outerwear,19254437324,79.97,,Charcoal,4XL,Cinch Jacket,,Y,ff10d77f-6f97-4b94-86f2-7b9481d770a3,Cinch Jacket (M-MIN-MWV159101X-CHR-CHA-4XL) [M-MIN-MWV159101X-CHR-CHA-4XL]
1015,M-MIN-MWK51427X-BRN-BRO-4XL,778c54f6-da2b-497b-9050-355cb2b4a506,Y,MWK51427X BRN,MWK51427X,BRN,Cinch,Miller International,Apparel - Outerwear,,47.97,,Brown,4XL,Cinch Jacket,,Y,4c853bb6-76e0-4618-9286-8c5e2053d6c8,Cinch Jacket (M-MIN-MWK51427X-BRN-BRO-4XL)
1020,M-MIN-MTW1242004-PUR-XS,f328a70c-462e-4e80-9017-d1a764446c27,Y,MTW1242004 PUR,MTW1242004,PUR,Cinch,Miller International,Apparel - Shirt,192584530767,44.47,,,XS,Cinch Shirt,,Y,c3d4d3c0-634e-4ae8-b4ad-f9199ab10499,Cinch Shirt (M-MIN-MTW1242004-PUR-XS)
1022,M-MIN-MTW1105972-PUR-XS,537f3bb8-1abb-48d5-a0df-68eed146ea2b,Y,MTW1105972 PUR,MTW1105972,PUR,Cinch,Miller International,Apparel - Shirt,192584590937,46.97,,,XS,Cinch Shirt,,Y,505ff589-699c-477a-b202-6dbaa46f6543,Cinch Shirt (M-MIN-MTW1105972-PUR-XS) [M-MIN-MTW1105972-PUR-XS]
1025,M-MIN-MTW1106005-GRY-GRA-XS,b965a441-44d7-47cb-a4e3-4f861d1b166d,Y,MTW1106005 GRY,MTW1106005,GRY,Cinch,Miller International,Apparel - Shirt,192584603590,64.95,,Gray,XS,Cinch Shirt,,Y,b4e4abe0-60db-4f6c-97c7-abde434343ac,Cinch Shirt (M-MIN-MTW1106005-GRY-GRA-XS) [M-MIN-MTW1106005-GRY-GRA-XS]
1027,M-MIN-MTT1690578-HGY-S,c353744b-c6ed-44f8-b55c-bb0f2c20a917,Y,MTT1690578 HGY,MTT1690578,HGY,Cinch,Miller International,Apparel - Shirt,192584413175,10.00,,,S,Cinch Shirt,,Y,14d2ec62-c9ad-4964-98dc-a7940f079537,Cinch Shirt (M-MIN-MTT1690578-HGY-S)
1030,M-MIN-MTT1690588-NAV-NAV-S,379d6734-f93b-415b-a94a-9e45bc09cc67,Y,MTT1690588 NAV,MTT1690588,NAV,Cinch,Miller International,Apparel - shirt,192584430011,10.00,,Navy,S,Cinch shirt,,Y,982f5fe7-8729-482a-ae0d-2c9fef7c1561,Cinch shirt (M-MIN-MTT1690588-NAV-NAV-S)
1031,M-MIN-MTK1721018-TEA-NA-S,04edea57-f17c-4665-91ef-914853d1dbb9,Y,MTK1721018 TEA,MTK1721018,TEA,Cinch,Miller International,Apparel - T-Shirt,192584532838,44.95,,NA,S,"Cinch Lead, Don't Follow Tee",,Y,f6231b99-f07b-4e7d-9019-94dfcb4eab32,"Cinch Lead, Don't Follow Tee (M-MIN-MTK1721018-TEA-NA-S) [M-MIN-MTK1721018-TEA-N"
1037,M-MIN-MTW1105995-WHT-WHI-S,57c7f001-8f47-405c-9b4c-b581bfa9e452,Y,MTW1105995 WHT,MTW1105995,WHT,Cinch,Miller International,Apparel - Shirt,192584591743,46.97,,White,S,Cinch Woven Shirt,,Y,7c547181-f164-4d7f-92ce-660f16e1062c,Cinch Woven Shirt (M-MIN-MTW1105995-WHT-WHI-S) [M-MIN-MTW1105995-WHT-WHI-S]
1041,M-MIN-MTW1105922-PUR-S,5c5c1352-e4aa-45a7-8232-98211718f6dd,Y,MTW1105922 PUR,MTW1105922,PUR,Cinch,Miller International,Apparel - Shirt,192584569292,63.95,,,S,Cinch Shirt,,Y,a79ceac7-2d7c-405e-9ebd-81afa83dd68d,Cinch Shirt (M-MIN-MTW1105922-PUR-S) [M-MIN-MTW1105922-PUR-S]
1050,M-MIN-MTK1721018-TEA-NA-L,dd262226-9f56-4612-9c64-8f9494b0b8a1,Y,MTK1721018 TEA,MTK1721018,TEA,Cinch,Miller International,Apparel - Shirt,192584532852,44.95,,NA,L,"Cinch Lead, Don't Follow Tee",,Y,d518d670-1d81-4959-89db-e20393be0f28,"Cinch Lead, Don't Follow Tee (M-MIN-MTK1721018-TEA-NA-L) [M-MIN-MTK1721018-TEA-N"
1063,M-MIN-MTK1721018-TEA-NA-XXL,7e01def4-d4be-4ccf-8137-a00d6905074b,Y,MTK1721018 TEA,MTK1721018,TEA,Cinch,Miller International,Apparel - shirt,192584532876,44.95,,NA,XXL,"Cinch Lead, Don't Follow Tee",,Y,05be508b-1914-46ff-84ba-ef59a3ef11c7,"Cinch Lead, Don't Follow Tee (M-MIN-MTK1721018-TEA-NA-XXL) [M-MIN-MTK1721018-TEA"
1065,M-KAR-301-278-2086-PU-2XL,135ac387-a569-4ff7-a081-9ac613a1c851,Y,301-278-2086 PU,301-278-2086,PU,Roper,Karman Inc,,,54.95,,,2XL,Roper Wear the West,,Y,a29149d1-9f91-4844-8d49-21bb0f59e461,Roper Wear the West (M-KAR-301-278-2086-PU-2XL)
1179,W-RHE-1-0540-214-0807-BU-16-L,17bc5ce7-18f8-4a8b-ab33-1ead557cc4cf,Y,1-0540-214-0807 BU,1-0540-214-0807,BU,Stetson,"HATCO (RHE Hatco, Inc.)",Apparel - Jeans,884426496896,84.95,,,16,Stetson Ladies Jeans,,Y,373a2b73-3014-4267-9e99-5e1f6d5849c7,Stetson Ladies Jeans (W-RHE-1-0540-214-0807-BU-16-L)
1187,W-RHE-11-054-0214-0807-BU-18-L,fa177bc1-849b-41d8-adcc-705711e0271b,Y,11-054-0214-0807 BU,11-054-0214-0807,BU,Stetson,"HATCO (RHE Hatco, Inc.)",Apparel - Jeans,884426496919,84.95,,,18,Stetson No 214 Ladies City Trouser,,Y,8837144d-a489-49ed-8591-c1e873acd5de,Stetson No 214 Ladies City Trouser (W-RHE-11-054-0214-0807-BU-18-L)
1398,M-MIN-MWJ1919002-NAV-NAV-XL,84047b96-ef05-49f8-b2c1-857f3735608d,Y,MWJ1919002 NAV,MWJ1919002,NAV,Cinch,Miller International,Apparel - Outerwear,192584528695,51.97,,Navy,XL,Cinch Windbreaker,,Y,a0cd191f-fe95-4abd-9a5c-dbe2ba8df36f,Cinch Windbreaker (M-MIN-MWJ1919002-NAV-NAV-XL) [M-MIN-MWJ1919002-NAV-NAV-XL]
1405,M-MIN-MWK151427X-BRN-BRN-4XL,3c300744-ceba-409b-9058-c47fc1d143b4,Y,MWK151427X BRN,MWK151427X,BRN,Cinch,Miller International,Apparel - Outerwear,,47.97,,BRN,4XL,Cinch Jacket,,Y,1647096e-36b9-4f64-9087-1a70070ec81d,Cinch Jacket (M-MIN-MWK151427X-BRN-BRN-4XL)
1407,K-MIN-MTT7672060-BLK-BLA-6-12M,45a64d62-0cc0-436c-8e1d-98b6d49c427c,Y,MTT7672060 BLK,MTT7672060,BLK,Cinch,Miller International,Apparel - T-Shirt,192584538090,17.97,,Black,6-12M,Cinch Tee,,Y,7ac32803-5c50-459b-84a4-a67c18059161,Cinch Tee (K-MIN-MTT7672060-BLK-BLA-6-12M) [K-MIN-MTT7672060-BLK-BLA-6-12M]
1408,K-MIN-MTT7671086-BRN-3T,d3931eea-9565-4511-85b1-3eff115b9270,Y,MTT7671086 BRN,MTT7671086,BRN,Cinch,Miller International,Apparel - T-shirt,192584448542,14.97,,,3T,Cinch T-Shirt,,Y,bed95ab1-709b-4380-8cf7-46acedbacbf5,Cinch T-Shirt (K-MIN-MTT7671086-BRN-3T)
