style,orphan_sku,orphan_ls_id_being_deleted,source_pid,existing_sibling_skus,sibling_count,action_taken,review_note
MJB1454082,W-MIN-MJB1454082-IND-32/13-S,13cb2e94-d5f2-4f3e-afb4-adda69ebf766,885,MJB1454082-IND-32/13-Short,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MAV9907001,W-MIN-MAV9907001-MUL-MUL-XL,48b1e072-78b8-47b4-a43a-7c7c1afeb73d,965,MAV9907001-MUL-XL | MAV9907001-MUL-XXL | W-MIN-MAV9907001-MUL-MUL-XXL,3,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MAV9882007,W-MIN-MAV9882007-GRY-GRA-XXL,1f68b746-a0b8-434e-827a-94392865f048,979,MAV9882007-GRY-XXL,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MWV1591001,M-MIN-MWV1591001-CHR-XS,95680f0e-c9f2-4ff8-becb-06d7a0c4c74b,991,MWV1591001-CHR-XS | A-MIN-MWV1591001-XS,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MWV159205X,M-MIN-MWV159205X-GRY-GRA-4XL,470b9bd4-c385-4a49-bb33-2346fed07ff4,1013,MWV159205X-GRY-4XL | MWV159205X,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MWV159101X,M-MIN-MWV159101X-CHR-CHA-4XL,4c2450ff-9283-4631-aecf-80f1a6c6850c,1014,MWV159101X-CHR-4XL | M-MIN-MWV159101XCHR-CHR-4XL,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MWK51427X,M-MIN-MWK51427X-BRN-BRO-4XL,7697edae-8062-4152-8e05-c00874d15dac,1015,MWK51427X-BRN-4XL,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTW1105972,M-MIN-MTW1105972-PUR-XS,7f4efdd0-74f8-42b0-a460-6655754b9188,1022,MTW1105972-PUR-S | MTW1105972-PUR-M | MTW1105972-PUR-L | MTW1105972-PUR-XL | MTW1105972,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTW1106005,M-MIN-MTW1106005-GRY-GRA-XS,7d270931-6a69-4673-a5e8-8de8f9ad26a2,1025,MTW1106005-GRY-S | MTW1106005-GRY-M | MTW1106005-GRY-L | MTW1106005-GRY-XL | MTW1106005,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTW1105922,M-MIN-MTW1105922-PUR-S,19a73758-9ae2-4326-9f27-f2ac6ad3e389,1041,MTW1105922-PUR-S | MTW1105922-PUR-M | MTW1105922-PUR-L | MTW1105922-PUR-XL | MTW1105922-PUR-XXL,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MWK151427X,M-MIN-MWK151427X-BRN-BRN-4XL,94b4c4da-f766-4a48-b3c6-1aa0d07eda83,1405,MWK151427X | M-MIN-MWK151427X-BRN-4XL,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTT7672060,K-MIN-MTT7672060-BLK-BLA-6-12M,3ad7e691-5f95-4f21-a653-ca3928579dfc,1407,MTT7672060 | MTT7672060-BLK-6-12M | MTT7672060-BLK-12-18M,3,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTW1105991,M-MIN-MTW1105991-RED-RED-XXL,ea7a65c3-d28b-4c21-ba5d-101b676faa54,1446,MTW1105991 | MTW1105991-RED-S | MTW1105991-RED-M | MTW1105991-RED-L | MTW1105991-RED-XL,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CWK7502001,W-CRU-CWK7502001-CRE-NA-S,1ccb5cc8-d2bb-4b84-8a05-147a2603160c,1490,CWK7502001 | W-CRU-CWK7502001-CRE-S | CWK7502001-CRE-M | CWK7502001-CRE-L | W-CRU-CWK7502001-CRE-XL,7,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MAK7908001,W-MIN-MAK7908001-GRY-GRA-L,4c3c9aa1-c1e4-43b7-a443-2aeeec2e9028,1501,MAK7908001 | MAK7908001-GRY-S | MAK7908001-GRY-M | W-Cinch-MAK7908001-GRY-L | MAK7908001-GRY-XL,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MTW7060379,K-MIN-MTW7060379-PUR-PUR-XXL,807e0805-ec05-4ce1-b380-23ed638af1eb,1518,MTW7060379 | MTW7060379-PUR-S/6-8 | MTW7060379-PUR-M/10 | MTW7060379-PUR-L/12 | MTW7060379-PUR-XL/14,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CTW3370009,K-CRU-CTW3370009-PUR-PUR-XS/4-5,97e5466f-85d0-4d60-a94f-3def379b47b9,1528,G-MIN-CTW3370009-PUR-XS | CTW3370009-PUR-M/8 | CTW3370009-PUR-XXL/14-16 | CTW3370009-PUR-S/6-7 | CTW3370009-PUR-XL/12,5,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CTW8040013,G-CRU-CTW8040013-PNK-PNK-S/6-7,b86b35d3-dcbf-4469-827c-6f28bd5b4002,1531,CTW8040013 | G-MIN-CTW8040013-PIN-S | CTW8040013-PNK-M/8 | CTW8040013-PNK-L/10 | CTW8040013-PNK-XL/12,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CTK8005001,K-CRU-CTK8005001-WHT-NA-XXL/14-16,73f8d3b6-96c1-44c8-adc6-58c830f7675b,1565,CTK8005001 | CTK8005001-WHT-S/6-7 | CTK8005001-WHT-M/8 | CTK8005001-WHT-L/10 | G-MIN-CTK8005001-WHI-XL/12,7,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
30428166,A-RHE-30428166-NAT-6-3/4,c9c76298-695f-4575-849c-fbe64b0149c5,1683,SSWKFD-30428166 | RSCDTR-30428166 | RSDBCSN30428166 | RSSACL-30428166 | RSCYCK-30428166,58,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RWCORO-90420766,A-HBR-RWCORO-90420766-BLA-6-3/4,d38f0c1a-e759-430f-847a-db60d74d8d47,1702,RWCORO-90420766 | A-RHE-RWCORO-90420766-BLA-6-3/4,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSHODRK8342M275,A-HBR-RSHODRK8342M275-BW-7-5/8,b89b5440-e8d6-41b4-973c-3ac9accb0d28,1710,RSHODRK8342M275,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSHODRK8342M273,A-HBR-RSHODRK8342M273-BW-7-3/8,df6800e9-bee6-4539-8820-dc1832029e3f,1712,RSHODRK8342M273,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSHODRK8342M271,A-HBR-RSHODRK8342M271-BW-7-1/8,0e9f4f0a-12d3-493f-8df9-365b6727e78a,1715,RSHODRK8342M271,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSTHGD-CJ42M274,A-RHE-RSTHGD-CJ42M274-BW-7-1/2,19d74100-0f58-4707-bae6-eef5823d7023,1723,RSTHGD-CJ42M274 | A-GEN-RSTHGD-CJ42M274-BW-7-1/2,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MB58135009,M-MIN-MB58135009-MUL-S,bb77269a-af38-4e37-9a4a-426d4ec84f83,1768,M-Cinch-MB58135009-MUL-S,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
936,M-KON-936-GBK-32-38,6d0ce683-8a9c-4b2c-869a-d97e7467d3f8,1912,61-9936-2-0 | 61-9936-7-0 | SR1936-33-16 | 52-936H-0-0 | 52-936LH-0-0,788,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
