id,old_sku,new_sku
19,"09MWFQG","M-KON-09MWFQG-15-32"
25,"09MWZPV","A-KON-09MWZPV-15-32"
26,"112321493","A-KON-112321493-15-32"
27,"WXTR006","A-TWX-WXTR006-5.5-B"
30,"Z5137","W-COR-Z5137-5.5-M"
31,"WXTR001","A-TWX-WXTR001-5.5-NA"
32,"WKL992","A-BHS-WKL992-6-B"
33,"L5812","W-GEN-L5812-6-M"
34,"E1538","W-COR-E1538-6-M"
35,"A4078","W-COR-A4078-6-NA"
36,"Z5098","A-COR-Z5098-6-M"
37,"14-021-0102-5078","W-KAR-14-11-NA"
38,"XT5151L","A-GEN-XT5151L-6-B"
39,"10044442","W-ARI-10044442-6-B"
40,"W5006","W-COR-W5006-6-NA"
41,"XT5150L","A-COR-XT5150L-6-B"
42,"09-021-8020-1723","W-KAR-09-6-NA"
43,"CA1620","W-BHS-CA1620-6-M"
44,"1003439","W-ARI-1003439-6-B"
45,"14-021-0005-1453-WH","W-KAR-14-6-NA"
46,"09-021-8022-1520","W-KAR-09-6-NA"
47,"DH5425","W-BHS-DH5425-6-M"
48,"SGK54L","A-BHS-SGK54L-6.5-B"
49,"14-021-0006-1543-WH","W-KAR-14-6.5-NA"
50,"DH5373","A-BHS-DH5373-7-M"
51,"09MWZBK","W-KON-09MWZBK-15-34"
52,"112367600","W-KON-112367600-32-34"
53,"1011MPFKP","W-KON-1011MPFKP-32-36"
54,"11-054-0214-0807-BU","W-RHE-11-14-R"
56,"BW4MD07188","W-WMA-BW4MD07188-32-34"
59,"10043144","W-ARI-10043144-32-L"
60,"H22-302988","W-WMA-H22-32-34"
61,"S23-303967","W-WMA-S23-32-34"
62,"CB72954071-IND","W-CRU-CB72954071-32/13-L"
63,"H24-309745","W-WMA-H24-32-36"
64,"1040806","W-ARI-1040806-32-L"
65,"10053533","W-ARI-10053533-32-L"
66,"10041115","W-ARI-10041115-32-L"
67,"10041063","W-ARI-10041063-32-X"
69,"10041063-S","W-ARI-10041063-32-S"
70,"MW4MD05313","W-WMA-MW4MD05313-32-32"
71,"112360597","W-KON-112360597-32-34"
73,"10053533-32R","W-ARI-10053533-32-R"
74,"BW6PD05304","W-WMA-BW6PD05304-32-32"
76,"112360597-32R","W-KON-112360597-32"
81,"BW6PD05304-3234","W-WMA-BW6PD05304-32-34"
82,"112367577","W-KON-112367577-32-32"
84,"112360597-3230","W-KON-112360597-32-30"
85,"112360638-3234","W-KON-112360638-32-34"
86,"BW6PD05304-3230","W-WMA-BW6PD05304-32-30"
89,"112367575","W-KON-112367575-32-34"
94,"112367600-33-34","W-KON-112367600-33-34"
95,"BW4MDO7188","W-WMA-BW4MDO7188-33-34"
96,"MJB1454071-IND","W-MIN-MJB1454071-IND-33/15-R"
97,"112360638","W-KON-112360638-33-32"
99,"112360638-33-30","W-KON-112360638-33-30"
100,"BW4MD05313","W-GEN-BW4MD05313-BLA-33-30"
101,"MWV1591001-CHR","A-MIN-MWV1591001-XS"
102,"32-9123P-6-57","A-GEN-32"
103,"32-9123P-14-66","A-JTI-32-BLU-66"
104,"USC1205","A-GEN-USC1205"
105,"60-3119-00","A-GEN-60"
107,"10061119","M-GEN-10061119-DBR-9-D"
108,"SFSKYL-75400774","A-GEN-SFSKYL-07 -7-1/2"
109,"SFSKYL-75400767","A-GEN-SFSKYL-BLA-6-7/8"
110,"DP69408-DA-SAD-","M-DPC-DP69408-SAD-18-D"
111,"DP69482","M-GEN-DP69482-TAN-17-EW"
117,"DH5427-BUTTERSCOTCH-14D","M-BHS-DH5427-NEU-14D"
118,"SE471-BARLEY-13EE","A-BHS-SE471-BAR-13-EE"
119,"DH5391-BROWN-13EE","M-BHS-DH5391-BRO-13-EE"
120,"6315-M-BLACK-065","A-SMB-6315-BLA-6"
121,"CA1620-7M","W-BHS-CA1620-COP-7-M"
122,"Q0199","W-COR-Q0199-TAU-7M"
123,"L5704-RED-6M","W-COR-L5704-RED-6M"
124,"SE4355-BROWN-6B","W-BHS-SE4355-BRU-6-B"
125,"A4252-SAND/PURPLE-10M","W-COR-A4252-SND-10M"
126,"DH5427-NEUTRALBUTTERSCOTCH-13D","M-BHS-DH5427-NEU-13-D"
127,"WK2110-TUMBLEDMAHOGANY-14D","A-BHS-WK2110-TUM-14-D"
128,"MHKBCW1-DISTRESSEDSADDLE-14M","M-TWX-MHKBCW1-DS-13-M"
129,"MRAL035-HONEYANDDENIM-12D","M-TWX-MRAL035-HON-12-D"
130,"MHY0035-CHOCOLATEANDKEYLIME-12D","M-TWX-MHY0035-CHO-12-D"
131,"DH5427-NEUTRALBUTTERSCOTCH-11.5EE","M-BHS-DH5427-NEU-11-1/2-2E"
132,"DH5427-NEUTRAL-HAZEL-11.5D","M-BHS-DH5427-NEU-11.5D"
133,"MHKBCW1-DISTRESSEDSADDLE-10.5W","A-TWX-MHKBCW1-DS-10.5-W"
134,"GB00623-11W","M-RBR-GB00623-11W"
135,"MLCSLW1-OILED-BROWN-/-RUST-11EE","A-GEN-MLCSLW1-OR-11-EE"
136,"MFSW001-OILEDSADDLE-11M","M-TWX-MFSW001-OIL-11-M"
137,"MHKB002-DISTRESSEDSADDLE-11M","M-TWX-MHKB002-DIS-11-M"
138,"GB00623-11M","M-RBR-GB00623-11M"
139,"MXLW001-DISTRESSED-SADDLE--COGNAC-11D","M-TWX-MXLW001-DIS-11-D"
140,"10002559-EARTH-/-BROWN-BOMBER-11D","M-ARI-10002559-EB-11.5-D"
144,"MABW001","M-TWX-MABW001-WAT-11.5-M"
148,"445","M-GEN-445-11.5-B"
155,"RNWBTHR0SR","W-WMA-RNWBTHR0SR-MED-32-34"
163,"MJ81454082-IND","W-MIN-MJ81454082-IND-31/11-S"
173,"-IND","W-CRU-IND-31/11-S"
188,"RRWD44HRV","W-WMA-RRWD44HRV-MED-28-30"
194,"RRWD4BRZTS6","W-WMA-RRWD4BRZTS6-MED-28-30"
199,"RRWD04BRZT6","A-WMA-RRWD04BRZT6-MED-29-32"
202,"JPORT","W-CTU-JPORT-29-L"
221,"112360639","W-KON-112360639-26-32"
243,"112360688","W-KON-112360688-29-34"
288,"112360614","W-KON-112360614-25-32"
293,"10WRQ20TB","W-KON-10WRQ20TB-13/14-x-30"
308,"10040503","W-ARI-10040503-32-R"
335,"RRWD4HROG4-RO-D","W-WMA-RRWD4HROG4-DAR-30-30"
338,"RRWD4HROG4-RO-D-29-36","W-WMA-RRWD4HROG4-DAR-29-36"
339,"RRWD4HROG4-RO-D-31-34","W-WMA-RRWD4HROG4-DAR-31-34"
340,"RRWD4HROG4-RO-D-28-32","W-WMA-RRWD4HROG4-DAR-28-32"
341,"RRWD4HROG4-RO-D-28-34","W-WMA-RRWD4HROG4-DAR-28-34"
342,"RRWD46HR-RO-DAR-26-30","W-WMA-RRWD46HR-DAR-26-30"
343,"RRWD4HR0G4-RO-D","W-WMA-RRWD4HR0G4-DAR-27-30"
344,"RRWD44HR-RO-DAR-26-34","W-WMA-RRWD44HR-DAR-26-34"
346,"RRWD4HROG4-RO-D-28-30","W-WMA-RRWD4HROG4-DAR-28-30"
347,"CB729540-CR-331-33/15-S","W-CRU-CB729540-33/15-S"
348,"CB729540-CR-331-33/15L","W-CRU-CB729540-33/15-L"
349,"CB729540-CR-321-32/13S","A-CRU-CB729540-32/13-S"
350,"CB729540-CR-341-34/17R","W-CRU-CB729540-34/17-R"
351,"CB729540-CR-309-30/9XL","W-CRU-CB729540-30/9-XL"
352,"CB729540-CR-311-31/11-S","W-CRU-CB729540-31/11-S"
353,"CB729540-CR-297-29/7S","W-CRU-CB729540-29/7-S"
354,"CB729540-CR-273-27/3XL","A-CRU-CB729540-27/3-XL"
355,"CB729540-CR-351-35/19L","W-CRU-CB729540-35/19-L"
356,"CB729540-CR-309-30/9S","W-CRU-CB729540-30/9-S"
357,"CB729540-CR-31X-31/11L","W-CRU-CB729540-31-x-11-Long"
358,"CB729540-CR-311-31/11R","W-CRU-CB729540-31/11-R"
359,"CB729540-CR-311-31/11-XL","W-CRU-CB729540-31/11-XL"
362,"CB729540-CR-273-27/3R","W-CRU-CB729540-27/3-R"
363,"CB729540-CR-285-28/5-R","W-CRU-CB729540-28/5-R"
364,"CB729540-CR-285-28/5-L","W-CRU-CB729540-28/5-L"
365,"CB729540-CR-285-28/5-S","W-CRU-CB729540-28/5-S"
366,"CB729540-CR-297-29/7-R","W-CRU-CB729540-29/7-R"
367,"CB729540-CR-341-34/17-L","W-CRU-CB729540-34/17-L"
368,"CB729540-CR-297-29/7-L","W-CRU-CB729540-29/7-L"
369,"10041063-AR-18WL","W-ARI-10041063-18-WL"
370,"10041063-AR-33L","A-ARI-10041063-33-L"
371,"10041063-AR-33XL","W-ARI-10041063-33-X"
372,"10041063-AR-33R","A-ARI-10041063-33-R"
373,"10041063-AR-22W","W-ARI-10041063-22-WL"
374,"10041063-AR-34L","W-ARI-10041063-34-L"
375,"10041063-AR-34S","W-ARI-10041063-34-S"
376,"10041063-AR-31R","W-ARI-10041063-31-R"
377,"10041063-AR-28L","W-ARI-10041063-28-L"
378,"10041063-AR-32R","W-ARI-10041063-32-R"
379,"10041063-AR-30L","W-ARI-10041063-30-L"
385,"10041063-AR-25X","W-ARI-10041063-25-X"
386,"10041063-AR-26R","W-ARI-10041063-26-R"
387,"10041063-AR-26S","W-ARI-10041063-26-S"
388,"10041063-AR-28X","W-ARI-10041063-28-x-L"
389,"10041063-AR-27X","W-ARI-10041063-27-X"
390,"10041063-AR-28S","W-ARI-10041063-28-S"
391,"10041063-AR-30X","W-ARI-10041063-30-X"
