style_number,brand_name,variant_count
MB71934005,Cinch,54
MB92834019,Cinch,46
10017511,Ariat,42
1009MWGMS,Wrangler,33
BW4MD05313,Rock & Roll Denim,32
10053533,Ariat,29
RRMD0SRZS8,Rock & Roll Denim,23
BM0SD05563,Rock & Roll Denim,22
42BWX,Wrangler,21
1042MWXGG,Wrangler,21
BW6PD05304,Rock & Roll Denim,20
GB00227,Georgia Boot,20
1009MWWSA,Wrangler,19
RRMD0SRZSR,Rock & Roll Denim,18
BG4MD08619,Rock & Roll Denim,18
13MWZ,Wrangler,18
42MWX,Wrangler,17
BM0SD05576,Rock & Roll Denim,17
112367575,Wrangler,17
GB00110,Georgia Boot,16
82BN,Wrangler,16
T70590SS,Twister,16
CB76953001,Cruel Denim,16
112378949,Wrangler,16
10042537,Ariat,16
10017510,Ariat,15
BRT20,Wrangler,15
13MWZGK,Wrangler,15
10002218,Ariat,15
CA3602,Carolina,15
1009GWWDI,Wrangler,15
WR4153,Justin,14
112379217,Wrangler,14
936WBK,Wrangler,14
GB00671,Georgia Boot,13
SE7501,Justin,13
MXBNW11,Twisted X,13
WDMXS01,Twisted X,13
CA3593,Carolina,13
DH4663,H & H,13
MDM0003,Twisted X,13
82BK,Wrangler,12
GB00651,Georgia Boot,12
10061119,Ariat,12
112378801,Wrangler,12
3503,Smoky Mountain,12
DH4155,H & H,12
GB00641,Georgia Boot,12
MDM0097,Twisted X,12
09-020-0904-3313,Roper,12
